ACCOUNT_NO,REFNO,BILLDT_A,MonthsDiff,am
98825094,1002410588,9/30/2018,6,18
6898970,1002269882,9/30/2018,6,45.685
4940404,1001233542,4/30/2018,11,76.365
95317016,1001339943,5/31/2018,10,10
66669455,1001512514,5/31/2018,10,142
99370438,1001461191,5/31/2018,10,49
96987649,1001514263,5/31/2018,10,23
96192094,1001430219,5/31/2018,10,11
96738560,1002241694,8/31/2018,7,11
85332379,1002015220,8/31/2018,7,82.595
96098624,1002196000,8/31/2018,7,19
95382392,1002097533,8/31/2018,7,10
100080819,1002114408,8/31/2018,7,35.29
94456100,1004308240,12/31/2018,3,8
96776377,1004267681,12/31/2018,3,10.5
93502035,1000388542,12/31/2017,15,22.5
97563006,1000263797,12/31/2017,15,3.55E-15
65518706,1000425468,12/31/2017,15,32.645
94756818,1002563278,10/31/2018,5,10
98942414,1002530878,10/31/2018,5,18
99808912,1002569845,10/31/2018,5,29
98670580,1001047792,3/31/2018,12,57
98808825,1001049839,3/31/2018,12,46
93626137,1000361796,12/31/2017,15,8
85289255,1000262589,12/31/2017,15,34.645
66894190,1000308891,12/31/2017,15,30.87
93894909,1000243194,12/31/2017,15,15.5
6080765,1000300057,12/31/2017,15,2.84E-14
6852397,1005799684,3/31/2019,0,54.75
99454245,1004089399,12/31/2018,3,15
98965591,1004197895,12/31/2018,3,9
79959337,1003142966,11/30/2018,4,17
99552024,1003419023,11/30/2018,4,15
30820959,1003175724,11/30/2018,4,11
92584688,1000531515,1/31/2018,14,11
94072346,1000504974,1/31/2018,14,8
93704379,1000652298,1/31/2018,14,22.2
44602595,1000642186,1/31/2018,14,19
98805356,1006296332,3/31/2019,0,17
33652788,1006100763,3/31/2019,0,208
52163271,1001222083,4/30/2018,11,60
10833432,1001238196,4/30/2018,11,21
97160477,1001174730,4/30/2018,11,11
60392472,1001256894,4/30/2018,11,50
92729708,1001209321,4/30/2018,11,10
58445055,1002499039,10/31/2018,5,85.8
99733432,1002508429,10/31/2018,5,32
94470844,1002530657,10/31/2018,5,7
99052714,1002506333,10/31/2018,5,17
97107281,1006286382,3/31/2019,0,9
96553236,1006283907,3/31/2019,0,15.5
96894866,1000024532,11/30/2017,16,46.7
52292356,1000077503,11/30/2017,16,19
30125406,1000210754,11/30/2017,16,51.22
94516583,1001016800,3/31/2018,12,10
46621477,1001092770,3/31/2018,12,68
93073136,171106873,4/30/2017,23,29.825
86440937,173992723,6/30/2017,21,48.5
93502035,173849010,6/30/2017,21,64.57
94305444,173836821,6/30/2017,21,16.735
99853152,1006019807,3/31/2019,0,26
96906108,1005996988,3/31/2019,0,13
93629230,172517668,5/31/2017,22,28.87
84932855,172681959,5/31/2017,22,107.31
63643844,1005435177,2/28/2019,1,47.825
93782494,1003626070,11/30/2018,4,9
96638746,1003095013,11/30/2018,4,12
31094223,1003091916,11/30/2018,4,91.15
4267230,1001657391,6/30/2018,9,21.99
97640694,1002447394,9/30/2018,6,12
94172699,1002297707,9/30/2018,6,10
94879898,1002291618,9/30/2018,6,23.235
99437960,1002371757,9/30/2018,6,18
97407203,1002353166,9/30/2018,6,11
93098509,1002271047,9/30/2018,6,19.5
60294139,1002311534,9/30/2018,6,16.5
98907645,1003095312,11/30/2018,4,17
98737594,1003535585,11/30/2018,4,18
97971431,1003527298,11/30/2018,4,11
96279023,1003447289,11/30/2018,4,49
6244300,1002294166,9/30/2018,6,-1.07E-14
100115998,1002355368,9/30/2018,6,11
94239083,1002414476,9/30/2018,6,10
94164794,1002281326,9/30/2018,6,8
59377707,1002433342,9/30/2018,6,35
97955383,1006004015,3/31/2019,0,11
48372304,1001172286,4/30/2018,11,38.4
13817425,1001175671,4/30/2018,11,122.09
48656422,1001279407,4/30/2018,11,218.04
94516583,1001242183,4/30/2018,11,10
94265859,1001217615,4/30/2018,11,19
72966440,1001103473,4/30/2018,11,6
64369249,1000008209,11/30/2017,16,18
93585500,1003094745,11/30/2018,4,97.02
96762676,1003500855,11/30/2018,4,11.5
75580100,1003186308,11/30/2018,4,9.5
93564430,1000728506,2/28/2018,13,8
96125184,1000683568,2/28/2018,13,17.75
84155826,1000714538,2/28/2018,13,16
66832100,180030645,10/31/2017,17,14.875
84937865,179026710,10/31/2017,17,62
94891035,178832710,10/31/2017,17,58
94286632,178863206,10/31/2017,17,49
92832350,178891334,10/31/2017,17,28
95824790,178807737,10/31/2017,17,63.84
11794343,179452502,10/31/2017,17,3.55E-15
44973858,1004728884,1/31/2019,2,14
99443284,1001066286,3/31/2018,12,21.775
58782862,1000989567,3/31/2018,12,18.395
99562145,1001938449,7/31/2018,8,27
63701492,1001865695,7/31/2018,8,-3.55E-15
44547936,1001629861,6/30/2018,9,55.235
16245532,1001609009,6/30/2018,9,1.78E-15
97671423,1001774988,6/30/2018,9,50
96641277,1001428321,5/31/2018,10,16.5
97096775,1001426215,5/31/2018,10,35
68077798,1001448061,5/31/2018,10,35.465
42173516,1001543897,5/31/2018,10,133.035
58070000,1001481520,5/31/2018,10,58
59615930,1001503932,5/31/2018,10,9
100129869,1001500164,5/31/2018,10,31.805
93612620,174985541,7/31/2017,20,67.165
12351817,175567692,7/31/2017,20,90
92542529,177583459,9/30/2017,18,57
94738579,177532742,9/30/2017,18,49
99137380,1002651667,10/31/2018,5,16.5
99514345,1002600421,10/31/2018,5,18
99420107,1001825806,7/31/2018,8,30.58
56612369,1002001094,7/31/2018,8,43.92
98430555,1001887206,7/31/2018,8,18
98877355,1005558203,2/28/2019,1,16.5
96240155,1000926748,3/31/2018,12,20
95541238,1002046532,8/31/2018,7,12
93582006,195053588,8/31/2018,7,29
86156767,1002085845,8/31/2018,7,10
97112185,1002091635,8/31/2018,7,17
2651427,1002162774,8/31/2018,7,3.675
2629926,1003636973,11/30/2018,4,77.445
84198035,1003308839,11/30/2018,4,7
67866694,1000171142,11/30/2017,16,31.040968
62007208,1000159774,11/30/2017,16,51
94735438,1000178063,11/30/2017,16,28
2359352,1000064906,11/30/2017,16,-2.13E-14
41110810,1000096066,11/30/2017,16,14.5
99991809,1001893450,7/31/2018,8,73.53
68995659,1000873966,2/28/2018,13,10
33184483,1000710207,2/28/2018,13,50
95996011,1000724505,2/28/2018,13,10
97160477,1000734777,2/28/2018,13,50
96889585,1000693853,2/28/2018,13,49.05
100071922,1002287832,9/30/2018,6,15
99972220,1002427072,9/30/2018,6,16.5
81389231,1002285916,9/30/2018,6,12.5
82909970,1002416980,9/30/2018,6,14
65888730,1005885791,3/31/2019,0,50
97989654,1005034930,1/31/2019,2,14
92664726,177578174,9/30/2017,18,22.5
92020355,177589884,9/30/2017,18,19
94621305,177532699,9/30/2017,18,47.05
67300376,168593776,2/28/2017,25,25.25
40666323,1001162264,4/30/2018,11,8
99568494,1001230192,4/30/2018,11,116.15
68350302,1001171198,4/30/2018,11,-7.11E-15
97153217,1001113204,4/30/2018,11,24.4
86156767,1001172963,4/30/2018,11,10
99793593,1001271186,4/30/2018,11,29.7
89863082,176380280,8/31/2017,19,13
9822653,1005245165,2/28/2019,1,9
84336055,1006221814,3/31/2019,0,11
5483700,1001814045,7/31/2018,8,83.78
99664203,1001872983,7/31/2018,8,30.58
97715475,1002005924,7/31/2018,8,27.58
74656752,1001788116,7/31/2018,8,1.42E-14
65564777,1000461991,1/31/2018,14,47
97574739,1000564581,1/31/2018,14,51
7004333,1000599615,1/31/2018,14,48.995
95101433,1000644258,1/31/2018,14,8
97755059,1000591199,1/31/2018,14,70.035
34315184,173807122,5/31/2017,22,34.385
77342720,1002390364,9/30/2018,6,10.5
97418353,1000720423,2/28/2018,13,57
94768651,1003643891,11/30/2018,4,180
97520070,1003236509,11/30/2018,4,47
4949857,1003156067,11/30/2018,4,23.72
16346543,1003542312,11/30/2018,4,7
98759231,1001368967,5/31/2018,10,24.2
99739392,1001532904,5/31/2018,10,84
96297785,1001379087,5/31/2018,10,8
56750316,1001403856,5/31/2018,10,143.505
93418140,1001006566,3/31/2018,12,12
95163360,1000894006,3/31/2018,12,10
96763190,1000967819,3/31/2018,12,50
56452974,1000949522,3/31/2018,12,55.8
94012556,173840684,6/30/2017,21,42.5
94211360,173837658,6/30/2017,21,35.9
53438383,174229175,6/30/2017,21,48.4
55204132,174283869,6/30/2017,21,23
94768225,1000014217,11/30/2017,16,26
21786458,1000018440,11/30/2017,16,6
44079308,1000153401,11/30/2017,16,7
74205134,1000063179,11/30/2017,16,22.5
93213955,1000157514,11/30/2017,16,8
99180522,1002682379,10/31/2018,5,11
99551470,1002530922,10/31/2018,5,15
72554332,1002507514,10/31/2018,5,9
2912065,1004454595,12/31/2018,3,114.825
56687199,1004184597,12/31/2018,3,0.5
98085580,1004265935,12/31/2018,3,29
95831824,1004216166,12/31/2018,3,8
97820817,1006002849,3/31/2019,0,15
98800589,1002153188,8/31/2018,7,35
71272410,1002193936,8/31/2018,7,14
98500170,1002177707,8/31/2018,7,15
88184122,1002066626,8/31/2018,7,128.625
98967502,1006297584,3/31/2019,0,18
98549340,1001907567,7/31/2018,8,15
99153610,1001961014,7/31/2018,8,23.58
97051718,1001981361,7/31/2018,8,11
71117180,1001985789,7/31/2018,8,10
